Employer Name,Employer City,Employer State Code,Employer Zip Code,Workforce Size
"Maskell Pipe & Supply, Inc.",Fontana,CA,92335,10 to 19
"Maslure, Inc.  DBA:  Baskin-Robbins",Westminster,CA,92683,20 to 99
Mason Electric Company,Sylmar,CA,91342,100 to 499
"Mason Tillman Associates, Ltd.",Oakland,CA,94612,10 to 19
Masonic Homes of Covina,Covina,CA,91724,20 to 99
"Masonry Concepts, Inc.",Santa Fe Springs,CA,90670,20 to 99
"Masonry Innovations, Inc.",Murrieta,CA,92562,5 to 9
Masons of California,San Francisco,CA,94108,100 to 499
Massage Envy - Seal Beach,Seal Beach,CA,90740,10 to 19
Massage Envy Spa,Murrieta,CA,92563,20 to 99
"Masten Space Systems, Inc.",Mojave,CA,93501,10 to 19
"Master and Sons, Inc. dba ServiceMaster by Master & Sons",Santa Clarita,CA,91351,20 to 99
"Master Building Specialties, Inc",Chino,CA,91710,5 to 9
Master Consultants Plus inc.,cerritos,CA,90703,20 to 99
Master Disposal Company,Pomona,CA,91766,10 to 19
"Master Escrow, Inc.",Glendale,CA,91203,5 to 9
"Master Industries Worldwide, LLC",Santa Ana,CA,92705,10 to 19
Master International Corporation,Santa Monica,CA,90404,100 to 499
Master Management,Solana Beach,CA,92075,5 to 9
Master Plumbing Aned Leak Detection,San Dieg,CA,92121,10 to 19
"Master Precision Machining, Inc.",Santa Clara,CA,95050,20 to 99
"Master Research & Manufacturing, Inc.",Norwalk,CA,90650,20 to 99
"Master Staffing, Inc.",Glendale,CA,91205,100 to 499
Master System Inc.,Arcadia,CA,91006,10 to 19
"MasterCraft Safety, Inc.",Santee,CA,92071,20 to 99
Mastermind Educational Services Inc,Santa Clara,CA,95054,10 to 19
Masterpiece Cuisine Corp,Los Angeles,CA,90012,10 to 19
"Masterpiece Publishing, Inc.",Anaheim,CA,92801,5 to 9
Masters In Metal,Oxnard,CA,93030,10 to 19
Masters Team Mortgage,Folsom,CA,95630,5 to 9
"Mastroianni Family Enterprises, Ltd",Garden Grove,CA,92843,100 to 499
Mata Construction,California City,CA,93505,10 to 19
MATA GUJRI INC,REDDING,CA,96003,5 to 9
Match Creative,Los Angeles,CA,90048,100 to 499
MatchPoint Solutions,Dublin,CA,94568,20 to 99
Matech,Westlake Village,CA,91362,10 to 19
Material and Contract Services LLC,Pleasanton,CA,94588,20 to 99
Material Control Inc.,Bakersfield,CA,93313,20 to 99
Materion Brush Inc.,Fremont,CA,94538,20 to 99
Materion Precision Optics and Thin Film Coatings Corporation,Buellton,CA,93427,20 to 99
Math Solutions,Sausalito,CA,94965,100 to 499
Mathematical Sciences Research Institute,Berkeley,CA,94720,20 to 99
"Matheson Trucking, Inc.",SACRAMENTO,CA,95827,"1,000 to 2,499"
MATHEWS DELIVERIES INC.,Tracy,CA,95376,10 to 19
Mathnasium,Los Angeles,CA,90056,100 to 499
"MATHY MACHINE, INC.",SANTEE,CA,92071,20 to 99
matian medical copr.,sherman oaks,CA,91423,5 to 9
MATICH CORPORATION,SAN BERNARDINO,CA,92408,100 to 499
"Matli :: Elliott, Inc.",Los Angeles,CA,90013,5 to 9
"Matrix Audio Visual Designs, Inc.",Burbank,CA,91505,5 to 9
Matrix Consulting Group,Palo Alto,CA,94303,10 to 19
Matrix Institute on Addicitons,Rancho Cucamonga,CA,91730,5 to 9
Matrix Precise Inc.,Palo Alto,CA,94303,5 to 9
"Matrix Service, Inc.",Orange,CA,92867,100 to 499
"Matson Logistics Warehousing, Inc",Oakland,CA,94603,100 to 499
"Matson Logsitics, Inc.",Concord,CA,94520,100 to 499
"Matson Navigation Company, Inc.",Oakland,CA,94607,100 to 499
Matsudas of Sacramento,Sacramento,CA,95830,100 to 499
MATSUI NURSERY INC,SALINAS,CA,93908,100 to 499
"Mattaniah Eytan, Inc.",Corte Madera,CA,94925,5 to 9
"Mattco Forge, Inc",Paramount,CA,90723,20 to 99
"Mattco Forge, Inc.",Paramount,CA,90723,20 to 99
"Mattel, Inc.",El Segundo,CA,90245,500 to 999
Matthew Electric,Riverside,CA,92503,5 to 9
Matthew John Colchico,Concord,CA,94520,5 to 9
"Matthews & Plata, Inc.",Benicia,CA,94510,10 to 19
"Matthews, Hutton & Warren, CPAs",Oroville,CA,95966,10 to 19
MATTJUST INC,Hayward,CA,94544,5 to 9
Mattman Global Specialty Vehicles,Temecula,CA,92590,10 to 19
Mattole Restoration Council,Petrolia,CA,95558,20 to 99
"Mattos Underground Construction, Inc.",Laton,CA,93242,5 to 9
MATTSON RESOURCES,COSTA MESA,CA,92626,100 to 499
MATTSON RESOURCES,COSTA MESA,CA,92626,100 to 499
"Mattson Technology, Inc",Fremont,CA,94538,20 to 99
Matura Farrington Staffing Services,Los Angeles,CA,90017,20 to 99
"Maui Fresh International, LLC",Los Angeles,CA,90021,100 to 499
"Maven Recruiting Group, LLC",San Francisco,CA,94104,20 to 99
"Maven Research, Inc.",San Francisco,CA,94133,10 to 19
"Maverick Asphalt, Inc.",Bakersfield,CA,93308,20 to 99
"Maverick Caulking & Coatings, Inc.",Orange,CA,92865,20 to 99
Maverick Delivery Service,Cerritos,CA,90703,5 to 9
"Maverick Enterprises, Inc.",Ukiah,CA,95482,100 to 499
Mavin Learning Resources,Arcadia,CA,91006,5 to 9
MAX OUT INC,CITY OF INDUSTRY,CA,91745,20 to 99
Maxim Integrated Products,Sunnyvale,CA,94086,100 to 499
"Maximum Demolition, Inc.",San Diego,CA,92121,20 to 99
"Maximum Exhaust Cleaning, Inc",Rancho Cucamonga,CA,91730,20 to 99
"Maximum Exhaust Cleaning, Inc.",Rancho Cucamonga,CA,91730,10 to 19
Maximum Security Alarm Inc.,Sacramento,CA,95825,100 to 499
Maxlinear,Carlsbad,CA,92011,100 to 499
Maxlinear Incorporated,Carlsbad,CA,92011,100 to 499
"Maxlinear, Inc",Carlsbad,CA,92011,100 to 499
Maxon Industries Inc.,Santa Fe Springs,CA,90670,100 to 499
"Maxonic, Inc.",Santa Clara,CA,95054,20 to 99
Maxreal corp,Cupertino,CA,95014,20 to 99
"Maxs Artisan Breads, Inc.",Fresno,CA,93722,20 to 99
"Maxsons Pharmacy, Inc",Sherman Oaks,CA,91423,10 to 19
Maxta Inc.,Sunnyvale,CA,94086,10 to 19
"Maxwell, Inc.",Beverly hills,CA,90210,5 to 9
"May Construction, Inc.",San Jose,CA,95112,5 to 9
MAY SMILE INTERNATIONAL CORP.,ROWLAND HEIGHTS,CA,91748,5 to 9
"Mayachitra, Inc.",Santa Barbara,CA,93111,5 to 9
Mayas Hallmark,San Leandro,CA,94577,5 to 9
Mayco Developers LLC,Los Angeles,CA,90048,10 to 19
"Mayor Logistics, Inc",Gardena,CA,90248,5 to 9
"Mayorga Manufacturing, Inc.",Baldwin Park,CA,91706,5 to 9
Mayss Hallmark,San Leandro,CA,94577,5 to 9
Mazarine Enterprises Inc.,El Segundo,CA,90245,20 to 99
"Mazda Motor of America, Inc",Irvine,CA,92618,500 to 999
"MB Plumbing, Heating & A/C",Riverside,CA,92506,5 to 9
"MB Professional Service, Inc",Ontario,CA,91762,10 to 19
MBDA Inc.,Westlake Village,CA,91362,20 to 99
MBH Architects,Alameda,CA,94501,100 to 499
"mBlox, Inc.",Sunnyvale,CA,94085,100 to 499
MBO Inc.,San Diego,CA,92123,10 to 19
MBR Associates,Chula Vista,CA,91914,10 to 19
MBR Contractors,National City,CA,91950,5 to 9
MC COY & MILLS,FULLERTON,CA,92832,20 to 99
McAfee Inc.,Santa Clara,CA,95064,"2,500 to 4,999"
MCAGCC TWENTYNINE PALMS,TWENTYNINE PALMS,CA,92278,"1,000 to 2,499"
McAlister Institute for Treatment and Education,El Cajon,CA,92020,100 to 499
McBain Instruments,Simi Valley,CA,93065,20 to 99
"McBride Door & Hardware, Inc.",Poway,CA,92064,20 to 99
"McBride Electric, Inc.",San Diego,CA,92121,100 to 499
"McCain, Inc.",Vista,CA,92081,100 to 499
"McCall and Smith, LLC",Santa Rosa,CA,95401,10 to 19
"McCampbell Analytical, Inc.",Pittsburg,CA,94565,20 to 99
"McCann Erickson USA, Inc.",San Francisco,CA,94111,100 to 499
"McCarthy and Holthus, LLP",San Diego,CA,92101,100 to 499
MCCHRO,Camp Pendleton,CA,92055,20 to 99
"McClain Mechanical Systems, Inc.",Oceanside,CA,92056,5 to 9
mcclanhan tire,fontana,CA,92335,20 to 99
"McClard Masonry Construction, Inc.",Hanford,CA,93230,10 to 19
"McClernon General Engineering, Inc.",Rancho Cordova,CA,95742,10 to 19
McClone Construction Company,El Dorado Hills,CA,95762,100 to 499
"McCorkell Electric, Inc",Laguna Hills,CA,92653,5 to 9
McCormick Barstow,Fresno,CA,93704,100 to 499
McCown & Evans LLP,San Francisco,CA,94111,5 to 9
McCrane Inc.,Fairfield,CA,94534,20 to 99
"McCrometer, Inc.",Hemet,CA,92592,100 to 499
McDB Inc.,Fallbrook,CA,92028,20 to 99
McDevitt & McDevitt Construction Corp,Petaluma,CA,94954,10 to 19
McDonald Capital Investors,Orinda,CA,94563,5 to 9
mcDonalds,san bernardino,CA,92408,20 to 99
McDonalds,Bakersfield,CA,93306,100 to 499
McDonalds,Los Angeles,CA,90048,20 to 99
McDonalds,BAKERSFIELD,CA,93304,100 to 499
McDonalds Gallo,Bakersfiled,CA,93306,100 to 499
McDonalds Oakhurst,Oakurst,CA,93644,20 to 99
mcdonalds restaurants,monterey,CA,93940,"1,000 to 2,499"
"McDonnell Roofing, Inc",Anaheim,CA,92806,100 to 499
"McDonnell Roofing, Inc.",Anaheim,CA,92806,20 to 99
"McDowell Consulting, Inc.",Oakland,CA,94605,5 to 9
"McDuff/Daniels, Inc.",Santa Ana,CA,92705,20 to 99
"McFadden Construction, Inc.",Stockton,CA,95210,20 to 99
McFAM Corporation,Highland,CA,92346,5 to 9
"McGinnis Chen Associates, Inc.",San Francisco,CA,94103,10 to 19
"McGlothlin Enterprises, Inc.",West Sacramento,CA,95691,20 to 99
McGrath RentCorp,Livermore,CA,94551,100 to 499
MCGUIRE AND HESTER,OAKLAND,CA,94603,20 to 99
MCH Electric Inc.,Tracy,CA,95304,100 to 499
"MCH ELECTRIC, INC.",TRACY,CA,95304,100 to 499
MCJS ELITE INC,LONG BEACH,CA,90805,10 to 19
McKay International Engineers,Benicia,CA,94510,5 to 9
"McKeever, Inc.",El Cajon,CA,92020,10 to 19
"McKennas Curb & Gutter Co., Inc.",Arroyo Grande,CA,93420,10 to 19
McKenzieGlobal,Glendale,CA,91206,5 to 9
"McKeon Door West, Inc.",Cypress,CA,90630,5 to 9
McKernan Construction,Yucaipa,CA,92399,5 to 9
McKernan Inspections,Van Nuys,CA,91411,20 to 99
McKesson Corporation,San Francisco,CA,94104,"10,000 and over"
McKinley Capital Partners,Oakland,CA,94612,5 to 9
Mckinley Children Center,San Dimas,CA,91773,100 to 499
McKinley Childrens Center,San Dimas,CA,91773,100 to 499
McKinley Childrens Center,San Dimas,CA,91773,100 to 499
McKinley Equipment Corporation,Irvine,CA,92614,20 to 99
"MCKOWSKIS MAINTENANCE SYSTEMS, INC",POWAY,CA,92064,100 to 499
McLane Foodservice,Riverside,CA,92518,100 to 499
McLane FoodService,Tracy,CA,95304,100 to 499
McLane Pacific,Merced,CA,95341,100 to 499
McLane Suneast,San Bernardino,CA,92407,100 to 499
McLaughlin Painting,Salinas,CA,93901,10 to 19
MCM Supply Inc,San Francisco,CA,94103,10 to 19
"McMahon Steel Company, Inc.",San Diego,CA,92154,100 to 499
McManga Foods,Riverside,CA,92504,500 to 999
McMillan Enterprises,Oxnard,CA,93036,10 to 19
"McMurray Stern, Inc.",Santa Fe Spring,CA,90670,20 to 99
McPeeks Dodge of Anaheim,Anaheim,CA,92806,20 to 99
McRoberts Maritime Security,San Pedro,CA,90731,100 to 499
McRoskey Mattress Company,San Francisco,CA,94107,20 to 99
McRoskey Mattress Company,San Francisco,CA,94107,20 to 99
"McSpi, Inc.",Riverside,CA,92507,100 to 499
MCT Technology Inc.,los angeles,CA,90066,5 to 9
McWorkman Millworks,San Diego,CA,92123,10 to 19
"MD Medical Management, Inc.",Santa Ana,CA,92701,10 to 19
MD Solutions Medical Corporation,Sherman Oaks,CA,91403,20 to 99
"Md7, LLC",San Diego,CA,92130,20 to 99
"MDA US Systems, LLC.",Pasadena,CA,91103,100 to 499
"MDB Interiors, Inc.",Petaluma,CA,94952,10 to 19
MDC Vacuum Products LLC,Hayward,CA,94544,100 to 499
MDI Staffing,San Diego,CA,92111,100 to 499
MDM Services Corporation,Mission Viejo,CA,92691,10 to 19
MDM-DEMCO Inc.,Mission Viejo,CA,92691,100 to 499
MdotM Inc,Burlingame,CA,94010,5 to 9
MDT Cardiovascular Santa Ana CA,Santa Ana,CA,92705,"10,000 and over"
MDT Diabetes Northridge CA,Northridge,CA,91325,"10,000 and over"
MDW MANAGEMENT INC,VISTA,CA,92081,20 to 99
MEA Forensic Engineers & Scientists,Laguna Hills,CA,92653,10 to 19
"Meadows Construction Services, Inc",Corona,CA,92880,20 to 99
Meadows Manufacturing Corp,Santa Clara,CA,95054,5 to 9
Meadows MHC Holdings,Madera,CA,93638,5 to 9
"Means Engineering, Inc.",Carlsbad,CA,92011,20 to 99
Measurement Driven Rehabilitation Systems Inc,San Diego,CA,92123,20 to 99
"Meat, Poatatoes & Toasted Buns, Inc.",San Carlos,CA,94070,20 to 99
MEB SERVICE & REPAIR INC.,PICO RIVERA,CA,90660,20 to 99
Mecca Gateway Retail Center,Mecca,CA,92254,100 to 499
Mechanical Applications Consultants,San Jose,CA,95112,5 to 9
Mechanical Industries,Bakersfield,CA,93307,100 to 499
Mechanical Technologies Corp.,Campbell,CA,95008,20 to 99
Mechanics Bank,Richmond,CA,94806,500 to 999
Mechanix Wear Inc,Valencia,CA,91355,20 to 99
Med Stat Staffing Inc,Glendale,CA,91201,100 to 499
Med Travelers - HR,San Diego,CA,92130,100 to 499
"Med-Logics, Inc.",Laguna Hills,CA,92653,10 to 19
MedCoast Ambulance Service,Santa Fe Springs,CA,90670,20 to 99
"MEDEANALYTICS, INC.",EMERYVILLE,CA,94608,100 to 499
Medequip Inc,Aliso Viejo,CA,92656,20 to 99
"Medequip, Inc.",Aliso Viejo,CA,92656,20 to 99
"MedExpert International, Inc.",Redwood City,CA,94063,20 to 99
Media Boost Ltd,San Jose,CA,95128,10 to 19
"Media Creation Technologies, Inc.",Los Angeles,CA,90071,20 to 99
"Media Imaging Company, Inc.",North Hollywood,CA,91601,5 to 9
MEDIA ONE DIGITAL IMAGING SOLUTIONS LLC,GARDEN GROVE,CA,92841,10 to 19
Media Services Group Ltd,Santa Monica,CA,90404,20 to 99
"Media Solutions Holdings, LLC",Chatsworth,CA,91311,5 to 9
Media Temple,Culver City,CA,90232,100 to 499
"Media Temple, Inc.",Culver City,CA,90232,100 to 499
Media Well Done,Valencia,CA,91355,10 to 19
"Mediabolic, Inc.",San Mateo,CA,94402,20 to 99
MediaDefender,Santa Monica,CA,90404,20 to 99
"MediaMation, Inc.",Torrance,CA,90503,20 to 99
MediaTek USA Inc.,San Jose,CA,95134,100 to 499
"Medical Acquisition Company, Inc.",Carlsbad,CA,92009,10 to 19
"Medical Audit Consultants, LLC",Irvine,CA,2618,20 to 99
Medical Chemical Corporation,Torrance,CA,90501,20 to 99
Medical Device Resource Corporation,Livermore,CA,94550,10 to 19
Medical Electronic Devices Incorporated,Los Angeles,CA,90095,5 to 9
MEDICAL HOME REHAB INC,VALENCIA,CA,91355,5 to 9
Medical Network Inc,Santa Ana,CA,92705,20 to 99
Medieval Times - California,Buena Park,CA,90620,100 to 499
Medigen Systems Inc,Covina,CA,91722,10 to 19
MedImpact,San Diego,CA,92131,500 to 999
Medinformatix,Los Angeles,CA,90045,20 to 99
"MedInformatix, INC",Los Angeles,CA,90045,20 to 99
Medipro Medical Staffing,Glendale,CA,91205,10 to 19
"Mediscan Diagnostic Services, Inc.",Woodland Hills,CA,91367,"2,500 to 4,999"
"Meditab Software, Inc",Oakland,CA,94621,20 to 99
Medium Entertainment Inc,San Francisco,CA,94105,20 to 99
Medivation,san francisco,CA,94105,100 to 499
"MEDIX AMBULANCE SERVICE, INC.",MISSION VIEJO,CA,92691,20 to 99
"MEDLEY COMMUNICATIONS, INC",LAKE ELSINORE,CA,92530,100 to 499
MedLife Ambulance Service Inc,Los Angeles,CA,90039,20 to 99
"MedMatch Staffing Services, Inc.",San Diego,CA,92109,5 to 9
MEDomics,Azusa,CA,91702,10 to 19
"MedQIA, LLC",Los Angeles,CA,90024,10 to 19
Medranos Paving Co,Hesperia,CA,92345,5 to 9
MedResponse Inc.,Van Nuys,CA,91406,20 to 99
Medsphere Systems Corporation,Carlsbad,CA,92008,100 to 499
"MedVantx, Inc.",San Diego,CA,92121,100 to 499
"MedWaves, Inc",San Diego,CA,92127,10 to 19
Medway Plastics Corporation,Long Beach,CA,90805,100 to 499
Mee Industries Inc.,Irwindale,CA,91702,20 to 99
MEEDER EQUIPMENT COMPANY,FRESNO,CA,93725,20 to 99
Meenas Corp.,Lancaster,CA,93534,5 to 9
Meerkat Inc.,Rialto,CA,92376,10 to 19
"Meeting Sites Pro, Inc.",San Diego,CA,92123,5 to 9
MeffordLeech Corp. dba Baskin Robbins,Sonora,CA,95370,10 to 19
Mega Branch Inc.,Redwood City,CA,94065,20 to 99
Mega Daniels Home Center,Anaheim,CA,92802,100 to 499
"MEGA ENGINEERING CO., INC.",LAKESIDE,CA,92040,20 to 99
Mega Group Investigations,Los Angeles,CA,90039,5 to 9
"Mega International Commercial Bank co., LTD, LA Branch",Los Angeles,CA,90071,20 to 99
Mega Met Inc,So El Monte,CA,91733,20 to 99
"Mega Proessionals International, Inc.",Milpitas,CA,95035,10 to 19
Mega RV Corp,Irvine,CA,92618,100 to 499
Mega Shoe Factory,Paramount,CA,90723,20 to 99
Mega Sign Inc,Los Angeles,CA,90015,5 to 9
MEGAGOODS INC.,LOS ANGELES,CA,90058,10 to 19
"megagoods, inc",los angeles,CA,90058,20 to 99
Meggitt,Simi Valley,CA,93063,"2,500 to 4,999"
"Meggitt - San Juan Capistrano, Inc.",San Juan Capistrano,CA,92675,100 to 499
Meggitt Control Systems North Hollywood,North Hollywood,CA,91605,100 to 499
MEGGITT DEFENSE SYSTEMS - CARTWRIGHT ELECTRONICS,FULLERTON,CA,92832,20 to 99
"Meggitt Defense Systems, Inc.",Irvine,CA,92618,100 to 499
Meggitt Safety Systems Inc.,Simi Valley,CA,93063,100 to 499
"Meggitt Thermal Systems, Inc",Simi Valley,CA,93063,20 to 99
mEgo Inc,Los Angeles,CA,90049,5 to 9
Mehran Restaurant,Newark,CA,94539,5 to 9
"Meissner Mfg. Co., Inc.",Chatsworth,CA,91311,20 to 99
"Meixcan Street Food, LLC.",San Diego,CA,92122,20 to 99
"Mekaza, Inc.",Folsom,CA,95630,20 to 99
"Mel Services, Inc",Concord,CA,94520,100 to 499
"Mel-Jen, Inc.",Los Angeles,CA,90025,20 to 99
"Melbourne IT DBS, Inc",Mountain View,CA,94043,10 to 19
Melero Enterprises LLC,Ontario,CA,91761,20 to 99
"Melhorn Construction, Inc.",National City,CA,91950,20 to 99
Melissa Data Corporation,Rancho Santa Margarita,CA,92688,100 to 499
Melkes Machine Inc.,South El Monte,CA,91733,20 to 99
"Mellace Family Brands California, Inc.",Carlsbad,CA,92009,20 to 99
Mellotti & Rasmusson Inc,Laguna Niguel,CA,92677,10 to 19
Melman Company,San Francisco,CA,94103,10 to 19
Melodis Corporation,San Jose,CA,95110,20 to 99
Mels Drive In 6,Sherman Oaks,CA,91403,20 to 99
Melton Air Conditioning,Fresno,CA,93703,10 to 19
Meltwater News US Operations Inc,San Francisco,CA,94105,100 to 499
Memeo Inc,Aliso Viejo,CA,92656,20 to 99
Memjet,San Diego,CA,92127,20 to 99
Memorial Health Services,Fountain Valley,CA,92708,500 to 999
Memorial HealthCare IPA,Signal Hill,CA,90755,100 to 499
Memorial Hospital of Gardena,Gardena,CA,90247,500 to 999
Memorial Medical Center,Modesto,CA,95355,"2,500 to 4,999"
MemorialCare Medical Foundation,Tustin,CA,92705,"1,000 to 2,499"
MemorialCare Medical Management,Fountain Valley,CA,92708,500 to 999
"Memory Experts International (USA), Inc.",Santa Ana,CA,92705,20 to 99
Mendes Earthmoving,Crows Landing,CA,95313,5 to 9
Mendez National Institute of Transplantation,Los Angeles,CA,90057,20 to 99
"Mendocino Hotel, Inc",Mendocino,CA,95460,20 to 99
mendocino onsen corp,ukiah,CA,95482,10 to 19
Mendocino Solid Waste Management Authority,Ukiah,CA,95482,5 to 9
Mengdeli USA LLC,Ontario,CA,91761,10 to 19
"Menifee Global Multi-Specialty Group, Inc.",Hemet,CA,92543,20 to 99
Menifee Valley Air Conditioning Inc.,Lake Elsinore,CA,32530,10 to 19
MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,92582,100 to 499
Menlo Park Fire Protection District,Menlo Park,CA,94025,100 to 499
"Menlo Worldwide Government Services, LLC.",San Mateo,CA,94403,"10,000 and over"
"Menlo Worldwide Logistics, Inc",San Mateo,CA,94403,"10,000 and over"
Mental Health America of Los Angeles,Long Beach,CA,90802,100 to 499
"Mental Health Systems, Inc.",San Diego,CA,92123,500 to 999
Menzies Aviation - LAX,Los Angeles,CA,90045,"1,000 to 2,499"
Menzies Aviation - SFO,San Francisco,CA,94080,100 to 499
Menzies Aviation - SJC,San Jose,CA,95110,100 to 499
Mepco Label Systems,Stockton,CA,95202,100 to 499
"MEPS Real-Time, Inc.",Carlsbad,CA,92010,10 to 19
"Meramia Woodland Hills, LLC.",Woodland Hills,CA,91364,10 to 19
Mercado Latino Inc,Ctiy of Industry,CA,91746,100 to 499
Merced Superior Court,Merced,CA,95340,100 to 499
MERCEDES BENZ OF OAKLAND,OAKLAND,CA,94611,100 to 499
MERCEDES-BENZ OF LONG BEACH,SIGNAL HILL,CA,90755,100 to 499
Mercer Advisors,Santa Barbara,CA,93108,100 to 499
MERCER FOODS,MODESTO,CA,95354,20 to 99
Mercer-Fraser Company,Eureka,CA,95501,100 to 499
Mercer-Fraser Company,Eureka,CA,95501,100 to 499
Merchant e-Solutions Inc,Redwood City,CA,94065,100 to 499
MERCHANT PLUS PAYROLL SERVICE INC,LOS ANGELES,CA,90045,500 to 999
merchants landscape inc,santa ana,CA,92705,5 to 9
Merco Mfg. Co.,Placentia,CA,92870,10 to 19
Mercury Air Group,Los Angeles,CA,90045,500 to 999
"Mercury Air Group, Inc.",Torrance,CA,90505,500 to 999
Mercury Engineering Corporation,South Gate,CA,90280,10 to 19
"Mercury Insurance Services, LLC",Brea,CA,92821,"5,000 to 9,999"
Mercury Maintenance,San Francisco,CA,94104,5 to 9
MERCURY SECURITY CORPORATION,LONG BEACH,CA,90815,10 to 19
"Mercury Technology Group, Inc.",Irvine,CA,92618,20 to 99
Mercy Hospitals of Bakersfield,Bakersfield,CA,93301,"1,000 to 2,499"
Mercy Medical Center Redding,Redding,CA,96001,"1,000 to 2,499"
Mercy San Juan Medical Center,Carmichael,CA,95608,"1,000 to 2,499"
Mergers Marketing Inc,Tarzana,CA,91356,10 to 19
Mergers Marketing Inc.,Sherman Oaks,CA,91403,10 to 19
"MeriCal, Inc.",Anaheim,CA,92806,100 to 499
"MERIDIAN GROUP REAL ESTATE MANAGEMENT, INC.",SANTA BARBARA,CA,93111,20 to 99
MERIDIAN PRECAST INC.,Los Angeles,CA,90024,10 to 19
Meridian Technical Sales,Milpitas,CA,95035,10 to 19
"MERIDIANLINK, INC.",COSTA MESA,CA,92626,20 to 99
Merit Property Management,Aliso Viejo,CA,92656,500 to 999
Meritage Healthcare,Huntington Beach,CA,92647,5 to 9
Meritek Electronics Corporation,Santa Fe Springs,CA,90670,20 to 99
Meriwest Credit Union,San Jose,CA,95123,100 to 499
Merk Investments LLC,Mountain View,CA,94043,10 to 19
"Merkel & Associates, Inc.",San Diego,CA,92123,20 to 99
Merli Concrete Pumping,VISTA,CA,92081,20 to 99
"Merlin Johnson Construction, Inc.",Mentone,CA,92359,10 to 19
"Merrell Engineering Company, Inc.",Barstow,CA,92311,10 to 19
Merritts Graden Center,La Puente,CA,91744,20 to 99
Merry Maids,Santa Ana,CA,92705,20 to 99
Merry Maids,Palm Desert,CA,92211,10 to 19
merry maids 0973,chico,CA,95973,5 to 9
"Meru Networks, Inc.",Sunnyvale,CA,94089,100 to 499
"Mesa Beverage Company, Inc.",Santa Rosa,CA,95403,100 to 499
Mesa Consolidated Water District,Costa Mesa,CA,92627,20 to 99
"Mesa Contract Glazing, Inc.",La Mesa,CA,91942,10 to 19
Mesa Controls,Costa Mesa,CA,92627,5 to 9
Mesa Energy Systems,Irvine,CA,92618,500 to 999
Mesa Marin Food Mart,Bakersfield,CA,93306,10 to 19
Mesa Verde Country Club,Costa Mesa,CA,92627,100 to 499
Mesa Village Homeowners Association,San Diego,CA,92126,10 to 19
"MESA3, Inc.",San Jose,CA,95133,10 to 19
"Mesotech International, Inc.",Sacramento,CA,95826,5 to 9
"Mesquemai, Inc.",Lake Forest,CA,92630,20 to 99
MESSAGEBROADCAST.COM,NEWPORT BEACH,CA,92660,10 to 19
"MessageSolution, Inc.",Milpitas,CA,95035,20 to 99
"Met West Construction, Inc.",Pinon Hills,CA,92372,5 to 9
Met-L-Chek Company,Santa Monica,CA,90404,5 to 9
"Metacomp Technologies, Inc.",Agoura Hills,CA,91301,10 to 19
"Metagenics, Inc.",San Clemente,CA,92673,500 to 999
"Metal Roofing and Sales, Inc.",Corona,CA,92879,10 to 19
"Metal Surfaces, Inc.",Bell Gardens,CA,90201,100 to 499
Metalclad Insulation Corporation,Fullerton,CA,92831,100 to 499
METALCO,EMERYVILLE,CA,94608,5 to 9
Metalite Manufacturing Co.,Pacoima,CA,91331,20 to 99
METALUBE CORPORATION,CORONA,CA,92880,5 to 9
"Metamarkets Group, Inc.",San Francisco,CA,94107,20 to 99
Metatech Corporation CA,Goleta,CA,93117,5 to 9
"Metavana,Inc",San Francisco,CA,94105,10 to 19
Meterman Services Inc.,Fullerton,CA,92831,10 to 19
"Meterman, Inc.",Menifee,CA,92584,10 to 19
METHAS CORP,BAKERSFIELD,CA,93304,10 to 19
"Method Products, PBC",San Francisco,CA,94111,100 to 499
"Method360, Inc",LAFAYETTE,CA,94559,20 to 99
METHODIST HOSPITAL OF SACRAMENTO,SACRAMENTO,CA,95823,"1,000 to 2,499"
Methodist Hospital of Southern California,Arcadia,CA,91007,"1,000 to 2,499"
Metier Ltd,Healdsburg,CA,95448,20 to 99
Metiri Group,Culver City,CA,90230,10 to 19
"Metis Technology Solutions, Inc.",Mountain View,CA,94043,10 to 19
"METLSAW SYSTEMS, INC.",BENICIA,CA,94510,20 to 99
Meto Corp,San Mateo,CA,94403,10 to 19
Metrex Valve Corp.,Glendora,CA,91741,20 to 99
Metric Machining,Ontario,CA,91761,20 to 99
Metro Cab Co,Santa Monica,CA,90405,20 to 99
Metro Candy Sales,Vacaville,CA,95688,5 to 9
"Metro Care Home Health Services, Inc.",Rancho Cucamonga,CA,91730,20 to 99
"Metro Floors, Inc.",lancaster,CA,93534,20 to 99
Metro Home Healthcare Equipment and Supply Inc,Alhambra,CA,91803,10 to 19
"Metro Parking, Inc.",Los Angeles,CA,90006,5 to 9
Metro Pointe Stadium 12,Costa Mesa,CA,92626,20 to 99
"Metro Remittance Center CA , Inc.",Daly City,CA,94014,5 to 9
Metro United Methodist Urban Ministry,san diego,CA,92120,10 to 19
"Metro Unlimited Wireless, Inc.",Elk Grove,CA,95624,20 to 99
"MetroLaser, Inc.",Irvine,CA,92618,20 to 99
Metronome Software LLC,Laguna Hills,CA,92653,5 to 9
Metropole Staffing,Pomona,CA,91768,5 to 9
Metropolitan Stevedore Co,Wilmington,CA,90744,500 to 999
